name,ticket_name_2,ticket_2,ticket_price_2
Monumen Nasional,Pelataran Puncak,Dewasa,7500
Monumen Nasional,Pelataran Puncak,Anak - Anak,3500
Monumen Pancasila Sakti,Rombongan (Min. 40 Orang),Dewasa,3000
Monumen Pancasila Sakti,Rombongan (Min. 40 Orang),Anak - Anak,2000
Museum Basoeki Abdullah,Rombongan,Dewasa,1000
Museum Basoeki Abdullah,Rombongan,Anak - Anak,500
Museum Basoeki Abdullah,Rombongan,Wisatawan Mancanegara,10000
Museum Joang ‘45,Rombongan,Dewasa,3750
Museum Joang ‘45,Rombongan,Mahasiswa,2250
Museum Joang ‘45,Rombongan,Pelajar,1500
Museum MH. Thamrin,Rombongan,Anak - Anak,1500
Museum MH. Thamrin,Rombongan,Pelajar,1500
Museum MH. Thamrin,Rombongan,Mahasiswa,2250
Museum MH. Thamrin,Rombongan,Dewasa,3750
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Dewasa,4000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Umum,4000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Pelajar,2000
Museum Olahraga Nasional,Rombongan (min. 10 Orang),Mahasiswa,2000
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Dewasa,1000
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Anak – Anak,500
Museum Perumusan Naskah Proklamasi,Rombongan (min. 20 Orang),Wisatawan Mancanegara,10000
Museum Prangko,Rombongan,Dapat Potongan 10%,4500
Museum Prasasti,Rombongan,Dewasa,3750
Museum Prasasti,Rombongan,Mahasiswa,2250
Museum Prasasti,Rombongan,Pelajar,1500
Museum Seni Rupa dan Keramik,Rombongan,Dewasa,3750
Museum Seni Rupa dan Keramik,Rombongan,Umum,3750
Museum Seni Rupa dan Keramik,Rombongan,Mahasiswa,2250
Museum Seni Rupa dan Keramik,Rombongan,Pelajar,1500
Museum Seni Rupa dan Keramik,Rombongan,Anak - Anak,1500
Museum Sumpah Pemuda,Rombongan,Dewasa,1000
Museum Sumpah Pemuda,Rombongan,Anak - Anak,500
Museum Sumpah Pemuda,Rombongan,Wisatawan Mancanegara,10000
Museum Tekstil,Rombongan,Dewasa,3750
Museum Tekstil,Rombongan,Umum,3750
Museum Tekstil,Rombongan,Mahasiswa,2250
Museum Tekstil,Rombongan,Pelajar,1500
Museum Tekstil,Rombongan,Anak - Anak,1500
